"","ITS Estimate (95% CI)"
"0","0.81 (0.64, 0.96)"
"1","0.7 (0.6, 0.8)"
"2","0.76 (0.67, 0.86)"
"3","0.86 (0.8, 0.9)"
"4","0.8 (0.75, 0.87)"
"5","0.87 (0.8, 0.96)"
"6","0.99 (0.9, 1.04)"
"7","1.08 (0.89, 1.16)"
"8","0.99 (0.9, 1.07)"
"9","0.78 (0.72, 0.84)"
