"","Estimate (95% CI)"
"0","0.86 (0.76, 1.03)"
"1","0.77 (0.71, 0.82)"
"2","0.78 (0.73, 0.87)"
"3","0.78 (0.71, 0.96)"
"4","0.78 (0.68, 0.88)"
"5","0.81 (0.69, 0.92)"
"6","0.96 (0.79, 1.16)"
"7","0.94 (0.81, 1.37)"
"8","0.98 (0.87, 1.19)"
"9","0.75 (0.72, 0.88)"
