"","ITS Estimate (95% CI)"
"0","0.87 (0.76, 1)"
"1","0.72 (0.62, 0.83)"
"2","0.77 (0.66, 0.87)"
"3","0.85 (0.77, 0.9)"
"4","0.8 (0.74, 0.86)"
"5","0.86 (0.8, 0.96)"
"6","0.99 (0.92, 1.05)"
"7","1.09 (0.9, 1.16)"
"8","0.98 (0.89, 1.07)"
"9","0.78 (0.73, 0.84)"
