"","Estimate (95% CI)"
"0","0.86 (0.76, 1.05)"
"1","0.77 (0.71, 0.82)"
"2","0.76 (0.72, 0.88)"
"3","0.79 (0.73, 0.95)"
"4","0.78 (0.71, 0.87)"
"5","0.76 (0.67, 0.89)"
"6","1.05 (0.8, 1.13)"
"7","0.98 (0.88, 1.35)"
"8","1.02 (0.9, 1.18)"
"9","0.75 (0.72, 0.94)"
