"","ITS Lower CI","ITS Point Estimate","ITS Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"0",0.76,0.87,1,"0.755548510454809","0.859527337216608","1.04510429929682","cJ20_J22","1","0.69","0.89","1.1","E00_99","1","0.72","0.83","1.08","M00_99","0.43","0.69","0.85","1.05"
"1",0.62,0.72,0.83,"0.713425307845959","0.769765749108742","0.816756350409297","cJ20_J22","1","0.71","0.76","0.95","E40_46","1","0.67","0.77","0.9","K00_99","0.23","0.7","0.76","0.92"
"2",0.66,0.77,0.87,"0.723437301004402","0.764783366087709","0.87583193689695","cJ20_J22","1","0.69","0.78","0.97","E40_46","1","0.7","0.76","0.91","N39","0.48","0.7","0.8","0.93"
"3",0.77,0.85,0.9,"0.725596714312082","0.794216723581033","0.954927319383914","K00_99","1","0.68","0.74","0.89","cJ20_J22","0.55","0.7","0.76","0.89","L00_99","0.35","0.7","0.75","0.91"
"4",0.74,0.8,0.86,"0.706019458384983","0.784754751769199","0.87036765318419","pandemic","1","0.58","0.73","0.85","P00_99","0.69","0.62","0.72","0.8","N00_99","0.45","0.57","0.75","0.81"
"5",0.8,0.86,0.96,"0.673154601918206","0.763074344614646","0.892315286841137","pandemic","1","0.58","0.68","0.82","A41","1","0.63","0.79","0.87","Z00_99","0.8","0.62","0.79","0.88"
"6",0.92,0.99,1.05,"0.796084511212432","1.05390749313704","1.1267317842908","E00_99","1","0.76","0.95","1.09","pandemic","1","0.68","0.81","0.93","L00_99","0.18","0.63","0.8","0.9"
"7",0.9,1.09,1.16,"0.884685880287081","0.983410637834707","1.35233022751701","cJ20_J22","1","0.81","0.93","1.41","I00_99","0.57","0.96","1.12","1.29","P00_99","0.55","0.78","0.92","1.2"
"8",0.89,0.98,1.07,"0.904748736853671","1.01796213356247","1.17970630963667","H00_99_SY","0.59","0.86","0.99","1.18","A41","0.42","0.87","1.01","1.19","I00_99","0.37","0.89","1","1.1"
"9",0.73,0.78,0.84,"0.715026855640164","0.752704376259293","0.941374212390553","cJ20_J22","1","0.68","0.79","1","E40_46","0.98","0.68","0.78","0.91","Z00_99","0.14","0.78","0.9","1.01"
