"","SC Estimate (95% CI)"
"ac_pneumonia_Age1","0.93 (0.77, 1.14)"
"ac_pneumonia_Age1_0","0.95 (0.77, 1.17)"
"ac_pneumonia_Age1_1","0.95 (0.76, 1.25)"
"ac_pneumonia_Age2","0.65 (0.53, 0.8)"
"ac_pneumonia_Age3","0.55 (0.43, 0.7)"
"ac_pneumonia_Age4","0.66 (0.46, 0.94)"
"ac_pneumonia_Age5","0.97 (0.77, 1.18)"
"ac_pneumonia_Age6","1.21 (0.95, 1.86)"
"HP_all_raw_Age1","0.74 (0.58, 0.94)"
"RP_all_raw_Age1","0.69 (0.36, 1.12)"
"VS_SP_all_raw_Age1","0.69 (0.52, 0.89)"
