"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","ac_pneumonia_Age1",0.889,0,0.111,0
"2","ac_pneumonia_Age1_0",0.722,0,0.278,0
"3","ac_pneumonia_Age1_1",0,0.789,0,0.211
"4","ac_pneumonia_Age2",0.126,0.006,0.47,0.398
"5","ac_pneumonia_Age3",0.79,0,0.21,0
"6","ac_pneumonia_Age4",0.249,0,0.081,0.671
"7","ac_pneumonia_Age5",0.152,0.848,0,0
"8","ac_pneumonia_Age6",0.116,0,0,0.884
"9","HP_all_raw_Age1",0.909,0,0.091,0
"10","RP_all_raw_Age1",0.064,0,0,0.936
"11","VS_SP_all_raw_Age1",0.715,0,0.285,0
