"","Time trend Estimate (95% CI)"
"ac_pneumonia_Age1","0.84 (0.58, 1.21)"
"ac_pneumonia_Age1_0","0.79 (0.54, 1.19)"
"ac_pneumonia_Age1_1","0.85 (0.57, 1.28)"
"ac_pneumonia_Age2","0.67 (0.48, 0.96)"
"ac_pneumonia_Age3","0.37 (0.25, 0.56)"
"ac_pneumonia_Age4","0.43 (0.27, 0.69)"
"ac_pneumonia_Age5","0.86 (0.62, 1.2)"
"ac_pneumonia_Age6","1.04 (0.73, 1.47)"
"HP_all_raw_Age1","0.62 (0.37, 1.03)"
"RP_all_raw_Age1","0.38 (0.21, 0.67)"
"VS_SP_all_raw_Age1","0.86 (0.54, 1.36)"
