"","Time trend Estimate (95% CI)"
"08_1_11","1.2 (0.95, 1.53)"
"08_1_12","1.12 (0.79, 1.64)"
"08_1_13","0.9 (0.68, 1.18)"
"08_1_15","1.04 (0.83, 1.29)"
"08_1_17","0.92 (0.74, 1.14)"
"08_2_21","0.72 (0.55, 0.94)"
"08_2_22","1.01 (0.8, 1.3)"
"08_2_23","0.98 (0.79, 1.23)"
"08_2_24","0.86 (0.68, 1.08)"
"08_2_25","1.14 (0.88, 1.44)"
"08_2_26","1.42 (1.21, 1.67)"
"08_2_27","1.07 (0.8, 1.44)"
"08_2_28","1.35 (0.98, 1.88)"
"08_2_29","0.87 (0.75, 1.03)"
"08_3_31","0.93 (0.84, 1.03)"
"08_3_32","0.99 (0.87, 1.13)"
"08_3_33","1.01 (0.89, 1.15)"
"08_3_35","0.97 (0.88, 1.07)"
"08_4_41","0.89 (0.81, 0.99)"
"08_4_42","1.07 (0.97, 1.19)"
"08_4_43","0.79 (0.68, 0.91)"
"08_5_50","1.18 (0.99, 1.4)"
"08_5_51","1.04 (0.85, 1.27)"
"08_5_52","1.07 (0.88, 1.29)"
"08_5_53","1.11 (0.89, 1.36)"
"08_1_AA","1.04 (0.9, 1.19)"
"08_2_AA","0.99 (0.87, 1.15)"
"08_3_AA","0.96 (0.88, 1.05)"
"08_4_AA","0.88 (0.81, 0.96)"
"08_5_AA","1.1 (0.95, 1.26)"
"08_A_AA","0.99 (0.9, 1.07)"
