"","SC Estimate (95% CI)"
"08_1_11","1.38 (1.15, 1.6)"
"08_1_12","1.34 (1.12, 1.6)"
"08_1_13","1.07 (0.85, 1.39)"
"08_1_15","1.21 (1.03, 1.41)"
"08_1_17","1.32 (1.07, 1.68)"
"08_2_21","1.19 (0.81, 1.58)"
"08_2_22","0.94 (0.74, 1.17)"
"08_2_23","0.99 (0.84, 1.27)"
"08_2_24","1.19 (1.01, 1.44)"
"08_2_25","1.28 (1.04, 1.94)"
"08_2_26","1.39 (1.18, 1.8)"
"08_2_27","1.32 (1.09, 1.57)"
"08_2_28","1.44 (1.19, 1.82)"
"08_2_29","0.91 (0.75, 1.08)"
"08_3_31","0.99 (0.67, 1.19)"
"08_3_32","1.43 (1.11, 1.58)"
"08_3_33","1.16 (0.93, 1.29)"
"08_3_35","1.04 (0.93, 1.14)"
"08_4_41","0.95 (0.84, 1.08)"
"08_4_42","1.16 (1.01, 1.35)"
"08_4_43","0.99 (0.85, 1.16)"
"08_5_50","1.56 (1.27, 1.76)"
"08_5_51","1.4 (1.21, 1.56)"
"08_5_52","1.35 (1.09, 1.7)"
"08_5_53","1.34 (1.09, 1.68)"
"08_1_AA","1.14 (0.99, 1.32)"
"08_2_AA","0.98 (0.85, 1.15)"
"08_3_AA","1.02 (0.91, 1.13)"
"08_4_AA","0.94 (0.81, 1.15)"
"08_5_AA","1.3 (1.12, 1.47)"
"08_A_AA","0.94 (0.84, 1.04)"
