"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","08_1_11",0.155,0,0.091,0.753
"2","08_1_12",0,1,0,0
"3","08_1_13",0.073,0,0.927,0
"4","08_1_15",0.409,0.471,0.055,0.065
"5","08_1_17",0,0.999,0.001,0
"6","08_2_21",0.214,0.311,0.475,0
"7","08_2_22",0.578,0,0.422,0
"8","08_2_23",0.889,0,0,0.111
"9","08_2_24",0.078,0,0.069,0.853
"10","08_2_25",0.622,0,0,0.378
"11","08_2_26",0.494,0,0.371,0.135
"12","08_2_27",1,0,0,0
"13","08_2_28",0,0,0.449,0.551
"14","08_2_29",0.244,0,0.756,0
"15","08_3_31",0,0,0,1
"16","08_3_32",0,0,0,1
"17","08_3_33",0.416,0,0,0.584
"18","08_3_35",0.55,0,0,0.449
"19","08_4_41",0,0.547,0.151,0.302
"20","08_4_42",0.105,0,0.029,0.866
"21","08_4_43",0.044,0,0,0.956
"22","08_5_50",0.068,0,0.037,0.896
"23","08_5_51",0.462,0,0,0.538
"24","08_5_52",0.087,0,0,0.913
"25","08_5_53",0.277,0.08,0,0.643
"26","08_1_AA",0.064,0.508,0,0.427
"27","08_2_AA",0.743,0,0.02,0.236
"28","08_3_AA",0.221,0,0,0.779
"29","08_4_AA",0.236,0.721,0,0.043
"30","08_5_AA",0.34,0,0.128,0.532
"31","08_A_AA",0.119,0,0.001,0.88
