"","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"0","0.751858733225417","0.843639852141892","1.03541274545354","cJ20_J22","1","0.72","0.9","1.14","E00_99","1","0.72","0.91","1.13","M00_99","0.4","0.67","0.92","1.15"
"1","0.726507250067231","0.773253703940908","0.820179693657959","cJ20_J22","1","0.69","0.75","0.85","E40_46","1","0.68","0.75","0.9","K00_99","0.22","0.7","0.75","0.89"
"2","0.727977194358678","0.768107072235092","0.866777645353833","cJ20_J22","1","0.74","0.81","0.96","E40_46","1","0.67","0.77","0.95","N39","0.45","0.68","0.76","0.9"
"3","0.720631797355419","0.783002795868085","0.935241271503163","cJ20_J22","0.86","0.7","0.78","0.88","P00_99","0.51","0.7","0.77","0.85","G00_99_SY","0.4","0.75","0.8","0.9"
"4","0.667166094422905","0.778983698922557","0.867799553645495","pandemic","1","0.54","0.74","0.83","Z00_99","0.82","0.62","0.71","0.83","E00_99","0.76","0.62","0.71","0.86"
"5","0.705222191794073","0.814234016917142","0.921549432484249","pandemic","1","0.54","0.62","0.84","I00_99","0.95","0.55","0.64","0.81","A41","0.88","0.57","0.69","0.92"
"6","0.816544631659141","1.047087169954","1.1533978981982","pandemic","1","0.69","0.86","0.97","E00_99","0.94","0.67","0.81","0.92","K80","0.3","0.68","0.82","0.98"
"7","1.01749800430406","1.13115249808178","1.4643911802576","E00_99","0.96","0.82","0.91","1.31","P00_99","0.34","0.81","0.91","1.17","cJ20_J22","0.29","0.85","0.96","1.19"
"8","0.87778839862439","0.97405010900016","1.1692714269645","A41","0.82","0.93","1.04","1.17","I00_99","0.34","0.87","1.02","1.15","I60_64","0.28","0.91","1.03","1.19"
"9","0.708478908780581","0.751889183044853","0.908949003868492","cJ20_J22","1","0.67","0.74","0.92","E40_46","1","0.76","0.84","0.95","C00_D48","0.15","0.68","0.77","0.86"
