"","STL+PCA Estimate (95% CI)"
"0","0.95 (0.81, 1.08)"
"1","0.82 (0.72, 0.91)"
"2","0.78 (0.73, 0.85)"
"3","0.81 (0.73, 0.9)"
"4","0.75 (0.66, 0.87)"
"5","0.82 (0.7, 0.97)"
"6","0.85 (0.76, 0.94)"
"7","0.96 (0.87, 1.06)"
"8","0.99 (0.91, 1.08)"
"9","0.84 (0.75, 0.94)"
