"","x"
"0",820.36824670803
"1",898.516858420021
"2",894.069539413547
"3",905.926369612738
"4",901.323468150208
"5",889.224581603643
"6",907.186834673854
"7",891.84058772314
"8",863.717328260433
"9",919.893126734942
