"","SC Estimate (95% CI)"
"0","0.84 (0.75, 0.99)"
"1","0.77 (0.73, 0.81)"
"2","0.77 (0.73, 0.83)"
"3","0.79 (0.67, 0.85)"
"4","0.81 (0.74, 0.94)"
"5","0.81 (0.73, 0.9)"
"6","0.86 (0.77, 0.94)"
"7","0.95 (0.84, 1.03)"
"8","0.99 (0.89, 1.12)"
"9","0.75 (0.71, 0.86)"
