"","x"
"0",1231094.54552853
"1",10013787.1874396
"2",5897537.51883433
"3",2598182.02571807
"4",5864637.1123544
"5",9008067.88689228
"6",4098093.94100639
"7",1673202.54569048
"8",494765.302122847
"9",8874054.86046455
