"","ITS Estimate (95% CI)"
"0","0.86 (0.74, 0.99)"
"1","0.72 (0.63, 0.86)"
"2","0.78 (0.68, 0.91)"
"3","0.82 (0.74, 0.91)"
"4","0.78 (0.68, 0.92)"
"5","0.89 (0.78, 1.01)"
"6","0.94 (0.85, 1.04)"
"7","0.97 (0.89, 1.06)"
"8","0.99 (0.91, 1.08)"
"9","0.74 (0.66, 0.83)"
