"","x"
"0",1188774.43234656
"1",3966953.14086964
"2",1844159.42225796
"3",1764034.40241959
"4",5947629.8109059
"5",11023666.3239909
"6",5366224.77207655
"7",3240418.69448581
"8",3782352.55460299
"9",8709315.58649906
