"","x"
"0",821.551818718293
"1",898.243305210033
"2",906.237650748407
"3",907.163971129632
"4",1187.28458748226
"5",890.125133657029
"6",907.380783089877
"7",960.289871321183
"8",868.1101680517
"9",919.774708613345
