"","x"
"0",825.365077103815
"1",1006.72417575896
"2",934.474208511311
"3",931.577562787091
"4",896.259198076843
"5",1213.53616791168
"6",907.796854094944
"7",958.092607053986
"8",867.038306725413
"9",927.189616448018
