"","x"
"0",821.775028964918
"1",898.481923323181
"2",893.678931069755
"3",904.726131167019
"4",895.42630192418
"5",892.230457415204
"6",907.303235517264
"7",894.199622757651
"8",862.12570612824
"9",919.94510863232
