"","ITS Estimate (95% CI)"
"0","0.83 (0.64, 1)"
"1","0.71 (0.59, 0.82)"
"2","0.79 (0.68, 0.88)"
"3","0.86 (0.79, 0.91)"
"4","0.8 (0.74, 0.85)"
"5","0.86 (0.79, 0.93)"
"6","0.99 (0.92, 1.05)"
"7","1.04 (0.89, 1.16)"
"8","0.98 (0.9, 1.07)"
"9","0.77 (0.68, 0.83)"
