"","STL+PCA Estimate (95% CI)"
"0","0.83 (0.76, 1.03)"
"1","0.76 (0.71, 0.86)"
"2","0.8 (0.73, 0.87)"
"3","0.76 (0.71, 0.9)"
"4","0.76 (0.69, 0.82)"
"5","0.82 (0.75, 0.93)"
"6","0.84 (0.75, 0.94)"
"7","0.96 (0.87, 1.05)"
"8","0.99 (0.91, 1.07)"
"9","0.78 (0.73, 0.94)"
