"","Estimate (95% CI)"
"0","0.85 (0.75, 1.02)"
"1","0.77 (0.72, 0.82)"
"2","0.77 (0.72, 0.86)"
"3","0.79 (0.73, 0.89)"
"4","0.8 (0.68, 0.89)"
"5","0.78 (0.66, 0.92)"
"6","1.04 (0.78, 1.1)"
"7","1.12 (0.94, 1.41)"
"8","0.99 (0.88, 1.18)"
"9","0.76 (0.72, 0.94)"
