"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","2",1,0,0,0
"2","3",0.876,0,0,0.124
"3","4",0.889,0,0.111,0
"4","5",0,0.144,0.856,0
"5","6",0,0,0.836,0.164
"6","7",0.643,0,0.004,0.354
"7","8",0.197,0,0,0.803
"8","9",0.995,0.005,0,0
