"","STL+PCA Estimate (95% CI)"
"2","0.7 (0.51, 0.96)"
"3","0.88 (0.72, 1.09)"
"4","1.07 (0.92, 1.24)"
"5","1.34 (1.14, 1.56)"
"6","1.22 (1.02, 1.45)"
"7","0.96 (0.81, 1.13)"
"8","0.95 (0.83, 1.1)"
"9","0.71 (0.53, 1.01)"
