"","Time trend Estimate (95% CI)"
"2","1.03 (0.76, 1.38)"
"3","0.93 (0.71, 1.22)"
"4","1.09 (0.94, 1.28)"
"5","1.24 (1.08, 1.41)"
"6","1.17 (0.97, 1.41)"
"7","0.9 (0.72, 1.11)"
"8","0.9 (0.73, 1.09)"
"9","1.01 (0.74, 1.43)"
