"","SC Estimate (95% CI)"
"2","0.84 (0.76, 0.91)"
"3","1.06 (0.95, 1.17)"
"4","1.1 (1, 1.25)"
"5","1.36 (1.01, 1.58)"
"6","1.26 (1.01, 1.53)"
"7","1.21 (1.03, 1.41)"
"8","1.16 (0.98, 1.34)"
"9","0.83 (0.77, 0.91)"
