"","Time trend Estimate (95% CI)"
"0","0.91 (0.73, 1.12)"
"1","1.16 (0.98, 1.36)"
"2","1.14 (0.94, 1.36)"
"3","0.99 (0.86, 1.14)"
"4","0.88 (0.77, 1.01)"
"5","0.75 (0.63, 0.9)"
"6","0.74 (0.63, 0.85)"
"7","0.85 (0.75, 0.96)"
"8","0.93 (0.82, 1.05)"
"9","0.92 (0.78, 1.08)"
