"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","0",0.335,0.601,0,0.065
"2","1",0.295,0.416,0,0.289
"3","2",0.241,0.001,0,0.758
"4","3",0.251,0,0,0.749
"5","4",0.687,0,0,0.313
"6","5",0.828,0,0,0.172
"7","6",1,0,0,0
"8","7",0.701,0.299,0,0
"9","8",0.962,0,0.038,0
"10","9",0.579,0,0,0.421
