"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"0",0.73,0.91,1.12,"0.73100948738528","0.897912589693412","1.09160479804692","cJ20_J22","1","0.95","1.18","1.44","P05_07","0.58","0.9","1.12","1.39","P00_99","0.45","0.91","1.14","1.41"
"1",0.98,1.16,1.36,"0.858352425064178","1.00234192037471","1.18703929294481","cJ20_J22","1","1.1","1.28","1.49","P00_99","0.65","1.22","1.41","1.63","ach_noj","0.38","1.22","1.47","1.74"
"2",0.94,1.14,1.36,"0.89936143864231","1.04927536231884","1.20116134384073","cJ20_J22","1","1","1.21","1.47","S00_T99","1","1.01","1.26","1.53","E40_46","0.22","1.02","1.26","1.52"
"3",0.86,0.99,1.14,"0.861176818450621","0.99098332766247","1.15210791685555","cJ20_J22","1","0.97","1.16","1.37","S00_T99","1","0.95","1.13","1.32","G00_99_SY","0.65","0.99","1.17","1.36"
"4",0.77,0.88,1.01,"0.793491124260355","0.885733157199472","0.997520456236053","cJ20_J22","1","0.8","0.91","1.06","N00_99","1","0.79","0.92","1.12","C00_D48","0.06","0.79","0.91","1.07"
"5",0.63,0.75,0.9,"0.668250950570342","0.808045977011494","0.978211719089661","cJ20_J22","1","0.56","0.71","0.88","ach_noj","0.48","0.54","0.69","0.87","A10_B99_nopneumo","0.18","0.58","0.74","0.92"
"6",0.63,0.74,0.85,"0.743652945526251","0.851778656126482","0.971666440995567","cJ20_J22","1","0.64","0.77","0.89","E00_99","0.47","0.64","0.77","0.89","D50_89","0.46","0.66","0.79","0.92"
"7",0.75,0.85,0.96,"0.80118456352081","0.929179978700745","1.06175844234865","cJ20_J22","0.9","0.75","0.85","0.97","E00_99","0.88","0.76","0.87","0.99","E10_14","0.15","0.77","0.88","1.01"
"8",0.82,0.93,1.05,"0.876765331785645","1.00221141088014","1.15201545692071","ach_noj","0.98","0.93","1.06","1.21","cJ20_J22","0.7","0.92","1.05","1.19","N39","0.43","0.89","1","1.13"
"9",0.78,0.92,1.08,"0.739733415517374","0.848332230504916","0.971468611667663","cJ20_J22","1","0.91","1.1","1.32","ach_noj","0.97","0.93","1.13","1.36","D50_89","0.1","0.9","1.1","1.33"
