"","STL+PCA Estimate (95% CI)"
"0","1.03 (0.87, 1.24)"
"1","1.05 (0.92, 1.18)"
"2","0.79 (0.68, 0.91)"
"3","0.8 (0.71, 0.9)"
"4","0.78 (0.68, 0.87)"
"5","0.67 (0.56, 0.8)"
"6","0.75 (0.66, 0.87)"
"7","0.86 (0.76, 0.98)"
"8","0.96 (0.85, 1.09)"
"9","1.02 (0.89, 1.17)"
