"","SC Estimate (95% CI)"
"0","0.9 (0.73, 1.09)"
"1","1 (0.86, 1.19)"
"2","1.05 (0.9, 1.2)"
"3","0.99 (0.86, 1.15)"
"4","0.89 (0.79, 1)"
"5","0.81 (0.67, 0.98)"
"6","0.85 (0.74, 0.97)"
"7","0.93 (0.8, 1.06)"
"8","1 (0.88, 1.15)"
"9","0.85 (0.74, 0.97)"
