"","x"
"0",821.491510341398
"1",898.851215369805
"2",894.124675484817
"3",908.267084998284
"4",895.292303106805
"5",891.482793232583
"6",907.407021011537
"7",892.131152338523
"8",863.523558237731
"9",919.144265443492
