"","STL+PCA Estimate (95% CI)"
"0","0.85 (0.76, 1.05)"
"1","0.78 (0.71, 0.89)"
"2","0.77 (0.67, 0.85)"
"3","0.76 (0.71, 0.88)"
"4","0.76 (0.71, 0.85)"
"5","0.82 (0.75, 0.9)"
"6","0.84 (0.76, 0.93)"
"7","0.96 (0.87, 1.05)"
"8","0.98 (0.91, 1.07)"
"9","0.78 (0.72, 0.89)"
