"","ITS Lower CI","ITS Point Estimate","ITS Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"0",0.74,0.86,1,"0.750920795836352","0.849141035661196","1.04230869639835","cJ20_J22","1","0.7","0.87","1.11","E00_99","1","0.69","0.9","1.11","M00_99","0.31","0.73","0.9","1.15"
"1",0.61,0.72,0.83,"0.666997519337477","0.769273246215917","0.820314247239743","cJ20_J22","1","0.7","0.75","0.85","E40_46","0.92","0.69","0.76","0.88","K00_99","0.27","0.7","0.76","0.97"
"2",0.66,0.77,0.9,"0.72369454719247","0.767542423691408","0.873824064222536","cJ20_J22","1","0.72","0.8","0.96","E40_46","1","0.72","0.81","0.96","N39","0.32","0.68","0.81","0.93"
"3",0.78,0.85,0.9,"0.719761657234897","0.781520527196373","0.874721978143782","cJ20_J22","1","0.73","0.8","0.88","K00_99","0.64","0.69","0.75","1.01","L00_99","0.57","0.71","0.76","0.86"
"4",0.72,0.8,0.85,"0.676570639434698","0.795488379786443","0.895100064474034","pandemic","1","0.6","0.76","0.89","P00_99","0.56","0.54","0.7","0.81","E00_99","0.55","0.61","0.74","0.83"
"5",0.79,0.86,0.94,"0.721175120934816","0.813391965965365","0.906635277303062","pandemic","1","0.55","0.64","0.84","A41","1","0.67","0.76","0.88","I00_99","0.94","0.62","0.75","0.92"
"6",0.91,0.98,1.05,"0.781613976083495","0.938528513885896","1.11409739434607","pandemic","1","0.71","0.85","0.96","L00_99","0.62","0.64","1.01","1.15","Z00_99","0.55","0.74","0.97","1.11"
"7",0.88,1.02,1.15,"0.910721007229184","0.98828145640355","1.41523888608366","cJ20_J22","1","0.99","1.14","1.39","I60_64","0.93","0.76","0.92","1.49","P00_99","0.22","0.81","0.9","1.43"
"8",0.9,0.99,1.09,"0.840642857451624","0.967828575752689","1.16058734165754","A41","0.9","0.91","1.03","1.2","I00_99","0.3","0.89","1.02","1.15","I60_64","0.28","0.88","1","1.18"
"9",0.67,0.77,0.83,"0.716264639781693","0.753807765707479","0.916565839141509","cJ20_J22","1","0.7","0.83","0.99","E40_46","1","0.65","0.73","0.83","A10_B99_nopneumo","0.19","0.73","0.8","0.93"
