"","ITS Estimate (95% CI)"
"0","0.86 (0.74, 1)"
"1","0.72 (0.61, 0.83)"
"2","0.77 (0.66, 0.9)"
"3","0.85 (0.78, 0.9)"
"4","0.8 (0.72, 0.85)"
"5","0.86 (0.79, 0.94)"
"6","0.98 (0.91, 1.05)"
"7","1.02 (0.88, 1.15)"
"8","0.99 (0.9, 1.09)"
"9","0.77 (0.67, 0.83)"
