"","Estimate (95% CI)"
"0","0.85 (0.75, 1.04)"
"1","0.77 (0.67, 0.82)"
"2","0.77 (0.72, 0.87)"
"3","0.78 (0.72, 0.87)"
"4","0.8 (0.68, 0.9)"
"5","0.81 (0.72, 0.91)"
"6","0.94 (0.78, 1.11)"
"7","0.99 (0.91, 1.42)"
"8","0.97 (0.84, 1.16)"
"9","0.75 (0.72, 0.92)"
