"","ITS Estimate (95% CI)","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"ec_1_AA","0.83 (0.67, 1.04)","0.71 (0.63, 0.81)","P00_P96_prim","0.65","0.7 (0.61, 0.82)","E00_E90_prim","0.55","0.71 (0.62, 0.83)","V00_Y98_prim","0.12","0.71 (0.62, 0.83)"
"ec_2_AA","0.89 (0.62, 1.28)","0.76 (0.6, 0.94)","R00_R99_prim","0.26","0.76 (0.59, 0.93)","V00_Y98_prim","0.24","0.77 (0.63, 0.93)","pandemic","0.13","0.78 (0.64, 0.94)"
"ec_3_AA","0.84 (0.57, 1.27)","0.66 (0.57, 0.77)","R00_R99_prim","0.1","0.66 (0.57, 0.77)","C00_D48_prim","0.09","0.66 (0.57, 0.77)","V00_Y98_prim","0.07","0.66 (0.57, 0.77)"
