"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"9_1",0.52,0.88,1.45,"0.597345132743363","0.854430379746835","1.21621621621622","cJ20_J22","1","0.53","0.87","1.36","P05_07","0.42","0.53","0.84","1.34","pandemic","0.2","0.52","0.83","1.3"
"9_10",0.85,1.31,2.04,"0.82010582010582","1.25","1.86746987951807","cJ20_J22","0.95","0.69","1.07","1.68","ach_noj","0.93","0.64","0.94","1.37","P00_99","0.75","0.67","0.95","1.37"
"9_11",1,1.35,1.81,"0.885996409335727","1.06933911159263","1.29188481675393","cJ20_J22","1","0.91","1.18","1.5","ach_noj","0.88","0.92","1.18","1.53","P00_99","0.2","0.91","1.17","1.51"
"9_12",0.41,0.58,0.84,"0.566233766233766","0.694267515923567","0.861660079051383","cJ20_J22","1","0.43","0.58","0.77","P05_07","0.1","0.44","0.58","0.76","Q00_99","0.07","0.43","0.58","0.77"
"9_13",0.57,0.93,1.54,"0.478944050497789","0.850622406639004","1.34868421052632","ach_noj","0.63","0.53","0.93","1.39","Q00_99","0.56","0.51","0.91","1.39","P00_99","0.47","0.49","0.91","1.4"
"9_14",0.95,1.28,1.71,"1.02924634420697","1.24659400544959","1.51741293532338","cJ20_J22","1","0.94","1.21","1.55","ach_noj","0.86","0.9","1.16","1.5","P00_99","0.45","0.9","1.17","1.52"
"9_15",0.62,0.85,1.16,"0.664083737202086","0.803904923599321","1","cJ20_J22","1","0.54","0.72","0.98","A10_B99_nopneumo","0.9","0.61","0.83","1.12","ach_noj","0.39","0.57","0.75","0.98"
"9_16",0.6,0.85,1.19,"0.674185463659148","0.864951768488746","1.09807167949147","cJ20_J22","1","0.57","0.83","1.2","P05_07","0.54","0.61","0.86","1.22","P00_99","0.14","0.65","0.91","1.26"
"9_17",0.34,0.53,0.82,"0.443298969072165","0.577181208053691","0.761061946902655","cJ20_J22","1","0.34","0.51","0.77","ach_noj","0.15","0.33","0.48","0.67","Q00_99","0.1","0.33","0.48","0.68"
"9_19",0.93,1.38,2.03,"0.527045769764216","0.783505154639175","1.1046511627907","cJ20_J22","1","0.63","1.01","1.53","P00_99","0.87","0.59","0.9","1.31","P05_07","0.71","0.56","0.83","1.23"
"9_2",0.77,1.15,1.73,"0.719376391982183","1.009375","1.3982683982684","Q00_99","0.41","0.74","1.03","1.4","pandemic","0.2","0.73","1.02","1.4","ach_noj","0.19","0.73","1.02","1.42"
"9_20",0.54,0.76,1.1,"0.861538461538462","1.02887139107612","1.24050632911392","cJ20_J22","1","0.48","0.68","0.96","pandemic","0.08","0.49","0.7","0.99","P00_99","0.06","0.54","0.74","1.04"
"9_21",0.46,0.65,0.92,"0.673003802281369","0.857142857142857","1.07272727272727","cJ20_J22","1","0.42","0.57","0.77","P00_99","0.18","0.46","0.62","0.81","ach_noj","0.12","0.48","0.67","0.9"
"9_22",0.75,1.1,1.67,"0.503981652416116","0.76219512195122","1.13636363636364","P00_99","0.87","0.44","0.64","0.95","ach_noj","0.8","0.44","0.62","0.89","Q00_99","0.22","0.44","0.62","0.87"
"9_23",0.48,0.82,1.41,"0.465968586387435","0.689922480620155","1.02298850574713","pandemic","0.41","0.46","0.69","1.02","ach_noj","0.4","0.47","0.7","1.03","P00_99","0.4","0.46","0.68","1"
"9_24",0.66,0.93,1.31,"0.570422273699846","0.734513274336283","0.940509915014164","cJ20_J22","1","0.64","0.84","1.11","P05_07","0.87","0.64","0.83","1.08","ach_noj","0.18","0.64","0.83","1.08"
"9_25",0.56,0.84,1.25,"0.534939759036145","0.69811320754717","0.928870292887029","cJ20_J22","1","0.58","0.83","1.16","Q00_99","0.27","0.58","0.83","1.16","ach_noj","0.14","0.59","0.84","1.17"
"9_26",0.49,0.74,1.11,"0.597864768683274","0.778979907264297","1.07006369426752","cJ20_J22","1","0.63","0.89","1.34","ach_noj","0.12","0.62","0.88","1.32","P00_99","0.1","0.61","0.85","1.14"
"9_27",0.46,0.66,0.93,"0.819047619047619","1.00879765395894","1.2463768115942","cJ20_J22","1","0.5","0.66","0.86","P05_07","0.89","0.49","0.64","0.84","P00_99","0.5","0.53","0.69","0.9"
"9_28",0.62,0.88,1.26,"0.53356890459364","0.677130044843049","0.923547400611621","cJ20_J22","1","0.53","0.77","1.13","P00_99","0.42","0.5","0.67","0.89","ach_noj","0.07","0.5","0.66","0.89"
"9_29",0.65,1.08,1.76,"0.626373626373626","0.95","1.425","cJ20_J22","1","0.55","0.83","1.24","ach_noj","0.69","0.55","0.83","1.26","P00_99","0.25","0.56","0.83","1.26"
"9_30",0.59,0.83,1.19,"0.665922098748701","0.815104166666667","1.04342056856187","cJ20_J22","1","0.55","0.72","0.95","P00_99","0.26","0.55","0.72","0.94","K00_99","0.2","0.55","0.72","0.95"
"9_31",0.58,0.94,1.55,"0.537593984962406","0.89375","1.375","pandemic","0.7","0.57","0.91","1.39","ach_noj","0.22","0.58","0.92","1.39","P00_99","0.21","0.64","0.94","1.42"
"9_32",0.42,0.73,1.23,"0.469404906117505","0.65564738292011","0.89811320754717","cJ20_J22","1","0.46","0.74","1.11","Q00_99","0.15","0.48","0.74","1.11","ach_noj","0.13","0.48","0.75","1.12"
"9_4",0.57,0.93,1.53,"0.607758620689655","0.854545454545454","1.175","cJ20_J22","1","0.51","0.8","1.19","P00_99","0.54","0.53","0.81","1.19","P05_07","0.42","0.56","0.82","1.21"
"9_5",0.56,0.87,1.35,"0.754010695187166","1.04832713754647","1.44615384615385","cJ20_J22","0.99","0.67","1","1.43","pandemic","0.14","0.67","0.99","1.43","P00_99","0.11","0.69","1.01","1.44"
"9_7",0.73,0.96,1.26,"0.753826530612245","0.9234375","1.13218390804598","cJ20_J22","1","0.71","0.91","1.17","P00_99","0.36","0.69","0.88","1.12","ach_noj","0.31","0.86","1.15","1.6"
"9_8",1.61,2.27,3.2,"1.31914893617021","1.625","1.98522167487685","cJ20_J22","1","1.31","1.72","2.2","pandemic","0.22","1.32","1.73","2.23","K00_99","0.11","1.24","1.62","2.11"
"9_9",0.71,0.96,1.31,"0.817518248175182","0.981380065717415","1.17281329554734","cJ20_J22","1","0.8","1.06","1.44","A10_B99_nopneumo","0.89","0.81","1.12","1.56","Z00_99","0.52","0.8","1.12","1.53"
