"","Time trend Estimate (95% CI)"
"9_1","0.88 (0.52, 1.45)"
"9_10","1.31 (0.85, 2.04)"
"9_11","1.35 (1, 1.81)"
"9_12","0.58 (0.41, 0.84)"
"9_13","0.93 (0.57, 1.54)"
"9_14","1.28 (0.95, 1.71)"
"9_15","0.85 (0.62, 1.16)"
"9_16","0.85 (0.6, 1.19)"
"9_17","0.53 (0.34, 0.82)"
"9_19","1.38 (0.93, 2.03)"
"9_2","1.15 (0.77, 1.73)"
"9_20","0.76 (0.54, 1.1)"
"9_21","0.65 (0.46, 0.92)"
"9_22","1.1 (0.75, 1.67)"
"9_23","0.82 (0.48, 1.41)"
"9_24","0.93 (0.66, 1.31)"
"9_25","0.84 (0.56, 1.25)"
"9_26","0.74 (0.49, 1.11)"
"9_27","0.66 (0.46, 0.93)"
"9_28","0.88 (0.62, 1.26)"
"9_29","1.08 (0.65, 1.76)"
"9_30","0.83 (0.59, 1.19)"
"9_31","0.94 (0.58, 1.55)"
"9_32","0.73 (0.42, 1.23)"
"9_4","0.93 (0.57, 1.53)"
"9_5","0.87 (0.56, 1.35)"
"9_7","0.96 (0.73, 1.26)"
"9_8","2.27 (1.61, 3.2)"
"9_9","0.96 (0.71, 1.31)"
