"","STL+PCA Estimate (95% CI)"
"9_1","0.83 (0.53, 1.26)"
"9_10","1.32 (0.89, 2.01)"
"9_11","1.12 (0.85, 1.46)"
"9_12","0.54 (0.39, 0.73)"
"9_13","0.91 (0.59, 1.38)"
"9_14","1.19 (0.93, 1.51)"
"9_15","0.66 (0.5, 0.87)"
"9_16","0.76 (0.56, 1.04)"
"9_17","0.51 (0.36, 0.72)"
"9_19","1.62 (1.02, 2.6)"
"9_2","1.01 (0.67, 1.45)"
"9_20","0.71 (0.52, 0.96)"
"9_21","0.57 (0.43, 0.75)"
"9_22","0.86 (0.61, 1.19)"
"9_23","0.72 (0.5, 1.07)"
"9_24","0.81 (0.59, 1.1)"
"9_25","0.74 (0.53, 1.03)"
"9_26","1.18 (0.73, 1.84)"
"9_27","0.73 (0.57, 0.92)"
"9_28","0.82 (0.61, 1.11)"
"9_29","0.99 (0.63, 1.55)"
"9_30","0.7 (0.53, 0.92)"
"9_31","0.88 (0.57, 1.35)"
"9_32","0.64 (0.43, 0.92)"
"9_4","0.79 (0.54, 1.16)"
"9_5","0.84 (0.57, 1.24)"
"9_7","0.61 (0.46, 0.83)"
"9_8","1.58 (1.22, 2.04)"
"9_9","0.97 (0.77, 1.2)"
