"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","9_1",1,0,0,0
"2","9_10",0.431,0,0.209,0.36
"3","9_11",0.972,0,0.028,0
"4","9_12",1,0,0,0
"5","9_13",0.33,0.524,0.147,0
"6","9_14",0.828,0.172,0,0
"7","9_15",0.987,0,0.013,0
"8","9_16",0.975,0,0.025,0
"9","9_17",0.937,0.063,0,0
"10","9_19",0.614,0.371,0,0.014
"11","9_2",0.004,0.8,0.196,0
"12","9_20",1,0,0,0
"13","9_21",0.961,0,0.039,0
"14","9_22",0,0,0.959,0.041
"15","9_23",0,0.822,0,0.178
"16","9_24",0.951,0,0.049,0
"17","9_25",0.86,0,0,0.14
"18","9_26",0.888,0.112,0,0
"19","9_27",1,0,0,0
"20","9_28",0.908,0,0,0.092
"21","9_29",0.701,0,0,0.299
"22","9_30",0.966,0.034,0,0
"23","9_31",0.214,0.239,0.547,0
"24","9_32",0.866,0.074,0,0.06
"25","9_4",0.915,0,0.085,0
"26","9_5",0.914,0.022,0.064,0
"27","9_7",0.883,0,0,0.117
"28","9_8",0.858,0,0.115,0.026
"29","9_9",0.915,0,0,0.085
