"","SC Estimate (95% CI)"
"9_1","0.85 (0.6, 1.22)"
"9_10","1.25 (0.82, 1.87)"
"9_11","1.07 (0.89, 1.29)"
"9_12","0.69 (0.57, 0.86)"
"9_13","0.85 (0.48, 1.35)"
"9_14","1.25 (1.03, 1.52)"
"9_15","0.8 (0.66, 1)"
"9_16","0.86 (0.67, 1.1)"
"9_17","0.58 (0.44, 0.76)"
"9_19","0.78 (0.53, 1.1)"
"9_2","1.01 (0.72, 1.4)"
"9_20","1.03 (0.86, 1.24)"
"9_21","0.86 (0.67, 1.07)"
"9_22","0.76 (0.5, 1.14)"
"9_23","0.69 (0.47, 1.02)"
"9_24","0.73 (0.57, 0.94)"
"9_25","0.7 (0.53, 0.93)"
"9_26","0.78 (0.6, 1.07)"
"9_27","1.01 (0.82, 1.25)"
"9_28","0.68 (0.53, 0.92)"
"9_29","0.95 (0.63, 1.43)"
"9_30","0.82 (0.67, 1.04)"
"9_31","0.89 (0.54, 1.38)"
"9_32","0.66 (0.47, 0.9)"
"9_4","0.85 (0.61, 1.18)"
"9_5","1.05 (0.75, 1.45)"
"9_7","0.92 (0.75, 1.13)"
"9_8","1.62 (1.32, 1.99)"
"9_9","0.98 (0.82, 1.17)"
