"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI"
"9_1",0.523255813953488,0.876623376623377,1.45161290322581
"9_10",0.846994535519126,1.3135593220339,2.03947368421053
"9_11",0.998987854251012,1.34836065573771,1.81109240083648
"9_12",0.408986480314241,0.580560283687943,0.844961240310077
"9_13",0.566298342541437,0.931818181818182,1.54135338345865
"9_14",0.952108451002832,1.27615062761506,1.71356351582098
"9_15",0.616536458333333,0.848566308243728,1.15915423926609
"9_16",0.600446428571429,0.85126582278481,1.18502202643172
"9_17",0.344,0.530864197530864,0.819047619047619
"9_19",0.931372549019608,1.38181818181818,2.03208556149733
"9_2",0.772727272727273,1.15357142857143,1.72727272727273
"9_20",0.53625170998632,0.762645914396887,1.10112359550562
"9_21",0.462745098039216,0.650735294117647,0.919480519480519
"9_22",0.748502994011976,1.09649122807018,1.66666666666667
"9_23",0.478430653786441,0.81651376146789,1.41269841269841
"9_24",0.664,0.929971988795518,1.31225296442688
"9_25",0.564885496183206,0.840909090909091,1.25423728813559
"9_26",0.486017357762777,0.744460856720827,1.10526315789474
"9_27",0.463611859838275,0.65774378585086,0.92972972972973
"9_28",0.620123203285421,0.880466472303207,1.25833333333333
"9_29",0.650190114068441,1.07547169811321,1.76288659793814
"9_30",0.593899772152263,0.834666666666667,1.19011406844106
"9_31",0.576612903225806,0.940789473684211,1.55434782608696
"9_32",0.419753086419753,0.732307692307692,1.22680412371134
"9_4",0.568548387096774,0.927631578947368,1.53260869565217
"9_5",0.555090845103105,0.865030674846626,1.34928229665072
"9_7",0.726914943289482,0.956310679611651,1.25744680851064
"9_8",1.60878243512974,2.27042253521127,3.1984126984127
"9_9",0.709407979794943,0.960342979635584,1.30612244897959
