"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI"
"9_1",0.186236397326367,0.379084967320261,0.767485822306238
"9_10",0.187297873947358,0.353823088455772,0.643929058663029
"9_11",0.836382789605079,1.26767577500304,1.95839140959937
"9_12",0.334049409237379,0.605844155844156,1.03322259136213
"9_13",0.199140081845896,0.423982869379015,0.865573770491803
"9_14",0.561497754311052,0.859099804305284,1.3130935785458
"9_15",0.685081656917125,1.19441535776614,2.09168704156479
"9_16",0.415920643457195,0.681486880466472,1.12244897959184
"9_17",0.657377049180328,1.40701754385965,2.97092454394692
"9_19",0.460942760942761,0.736813778256189,1.17111146469292
"9_2",0.726463341091569,1.35085413929041,2.55086848635236
"9_20",0.504294774039092,0.906658739595719,1.66126533310525
"9_21",0.466444629330511,0.861547762998791,1.5
"9_22",0.378175653280062,0.617424242424242,1.00824742268041
"9_23",0.273593135930237,0.614439324116744,1.40350877192982
"9_24",0.454612274898934,0.7304399810038,1.18486590038314
"9_25",0.919335705812574,1.85851318944844,3.70813397129187
"9_26",0.703457193967607,1.25098970704671,2.21910112359551
"9_27",0.37753395262644,0.663131098854476,1.16470129560541
"9_28",0.88718104686236,1.42168674698795,2.27896995708155
"9_29",0.30478585916139,0.688303222031233,1.60062893081761
"9_30",0.361009306964796,0.648401826484018,1.13501634103019
"9_31",0.647578751225891,1.30715935334873,2.65727699530516
"9_32",0.514101103013729,1.0328798185941,2.01114875754556
"9_4",0.563676633444075,1.10412147505423,2.07755102040816
"9_5",0.394772438163528,0.734722222222222,1.34609884766859
"9_7",0.624836296649181,1.01556543267463,1.65142437831115
"9_8",0.576549882371404,0.929130009775171,1.50517629333223
"9_9",0.529419451473469,0.918934738074334,1.54910643625956
