"","SC Estimate (95% CI)"
"9_1","0.69 (0.41, 1.14)"
"9_10","0.76 (0.57, 1.11)"
"9_11","0.87 (0.68, 1.11)"
"9_12","0.7 (0.47, 0.87)"
"9_13","0.63 (0.33, 1.29)"
"9_14","1.2 (0.88, 1.7)"
"9_15","0.72 (0.62, 0.86)"
"9_16","1.09 (0.83, 1.27)"
"9_17","0.72 (0.55, 0.95)"
"9_19","0.71 (0.57, 1)"
"9_2","0.97 (0.72, 1.31)"
"9_20","0.95 (0.59, 1.2)"
"9_21","0.84 (0.7, 1)"
"9_22","0.65 (0.44, 0.84)"
"9_23","1.14 (0.86, 1.53)"
"9_24","0.67 (0.4, 0.95)"
"9_25","0.86 (0.62, 1.22)"
"9_26","0.77 (0.52, 1.04)"
"9_27","1.31 (1.09, 1.53)"
"9_28","1.13 (0.76, 1.51)"
"9_29","0.84 (0.53, 1.41)"
"9_30","0.83 (0.7, 1)"
"9_31","1.03 (0.47, 1.7)"
"9_32","1.06 (0.81, 1.34)"
"9_4","0.87 (0.72, 1.04)"
"9_5","0.79 (0.46, 1.45)"
"9_7","0.94 (0.76, 1.16)"
"9_8","0.98 (0.75, 1.26)"
"9_9","1.05 (0.92, 1.19)"
