"","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"ec_1_AA","0.624691358024691","0.705390334572491","0.810897435897436","P00_P96_prim","0.61","0.62","0.7","0.82","E00_E90_prim","0.54","0.62","0.71","0.83","V00_Y98_prim","0.12","0.62","0.71","0.83"
"ec_2_AA","0.57706080263349","0.744318181818182","0.925795053003534","V00_Y98_prim","0.28","0.61","0.77","0.93","R00_R99_prim","0.26","0.64","0.78","0.94","pandemic","0.12","0.64","0.78","0.94"
"ec_3_AA","0.574434213167403","0.662125340599455","0.773885350318471","R00_R99_prim","0.1","0.57","0.66","0.77","C00_D48_prim","0.08","0.57","0.66","0.77","V00_Y98_prim","0.07","0.57","0.66","0.77"
