"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","ec_1_AA",0.232,0,0,0.768
"2","ec_2_AA",0.251,0,0,0.749
"3","ec_3_AA",0.877,0.001,0,0.122
