"","SC Estimate (95% CI)"
"09_1_11","0.77 (0.55, 1.1)"
"09_1_12","0.57 (0.44, 0.75)"
"09_1_13","1.21 (0.89, 1.6)"
"09_1_14","1.2 (0.86, 1.69)"
"09_1_15","0.65 (0.6, 0.74)"
"09_1_16","1.24 (0.97, 1.51)"
"09_1_17","0.55 (0.37, 0.84)"
"09_2_21","0.8 (0.66, 1.24)"
"09_2_22","0.68 (0.44, 0.94)"
"09_2_23","0.65 (0.56, 0.75)"
"09_2_24","0.59 (0.51, 0.71)"
"09_2_25","0.76 (0.54, 0.9)"
"09_2_26","0.66 (0.53, 0.8)"
"09_2_27","0.73 (0.56, 0.86)"
"09_2_28","0.64 (0.46, 0.91)"
"09_2_29","0.56 (0.51, 0.63)"
"09_3_31","0.55 (0.46, 0.66)"
"09_3_32","0.46 (0.39, 0.53)"
"09_3_33","0.75 (0.64, 0.85)"
"09_3_35","0.94 (0.87, 1.02)"
"09_4_41","0.82 (0.64, 1.02)"
"09_4_42","0.68 (0.59, 0.83)"
"09_4_43","0.83 (0.74, 0.92)"
"09_5_50","0.77 (0.67, 0.89)"
"09_5_51","0.72 (0.62, 0.81)"
"09_5_52","0.58 (0.5, 0.68)"
"09_5_53","0.44 (0.36, 0.56)"
"09_1_AA","0.91 (0.82, 1.01)"
"09_2_AA","0.57 (0.53, 0.63)"
"09_3_AA","0.76 (0.7, 0.84)"
"09_4_AA","0.75 (0.66, 0.87)"
"09_5_AA","0.68 (0.58, 0.78)"
"09_A_AA","0.75 (0.71, 0.78)"
