"","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"09_1_11","0.547799283241798","0.771857410881801","1.10296385443395","cj20_J22","0.99","0.49","0.79","1.11","P00_99","0.94","0.47","0.75","1.08","N00_99","0.29","0.5","0.81","1.1"
"09_1_12","0.435283576744803","0.56701030927835","0.754032258064516","cj20_J22","0.48","0.44","0.58","0.77","P00_99","0.16","0.44","0.56","0.72","pandemic","0.15","0.44","0.58","0.74"
"09_1_13","0.890940872569849","1.2081208687441","1.60170266837961","a10_b99_nopneumo","0.8","0.82","1.12","1.45","K00_99","0.12","0.81","1.11","1.45","L00_99","0.11","0.8","1.11","1.39"
"09_1_14","0.857301499167129","1.20436817472699","1.68558951965065","P00_99","0.67","0.79","1.08","1.45","P05_07","0.21","0.8","1.1","1.47","pandemic","0.14","0.8","1.09","1.45"
"09_1_15","0.596281916932401","0.653609401231114","0.736769065791964","cj20_J22","1","0.62","0.69","0.77","E40_46","0.14","0.62","0.69","0.76","L00_99","0.03","0.62","0.69","0.76"
"09_1_16","0.968766001024066","1.23821989528796","1.50756972111554","a10_b99_nopneumo","0.36","0.94","1.2","1.47","P00_99","0.19","0.99","1.22","1.48","P05_07","0.1","0.99","1.22","1.48"
"09_1_17","0.366903086463827","0.55255795363709","0.844539132488637","P00_99","0.7","0.63","0.75","0.88","P05_07","0.08","0.63","0.75","0.88","a10_b99_nopneumo","0.06","0.61","0.75","0.88"
"09_2_21","0.655546342533653","0.797667167109366","1.24249524515743","cj20_J22","1","0.67","0.8","0.95","K00_99","0.59","0.68","0.81","0.98","P00_99","0.45","0.69","0.81","0.98"
"09_2_22","0.440947005455327","0.68005540166205","0.940658161802016","cj20_J22","1","0.36","0.44","0.68","P05_07","0.91","0.36","0.42","0.5","P00_99","0.56","0.36","0.43","0.51"
"09_2_23","0.55978853931133","0.652309404563161","0.748151481505636","cj20_J22","0.9","0.57","0.68","0.79","P00_99","0.36","0.57","0.67","0.78","N00_99","0.18","0.56","0.67","0.77"
"09_2_24","0.51031627644929","0.594958464623317","0.706462585034014","L00_99","0.2","0.5","0.59","0.68","cj20_J22","0.11","0.5","0.59","0.68","a10_b99_nopneumo","0.11","0.51","0.59","0.68"
"09_2_25","0.53734599103909","0.760818818459328","0.898440403011548","cj20_J22","0.8","0.69","0.8","0.91","E00_99","0.46","0.7","0.8","0.9","P00_99","0.38","0.71","0.81","0.91"
"09_2_26","0.530865488603302","0.660739436619718","0.800558877588581","cj20_J22","1","0.44","0.91","1.2","P05_07","0.35","0.52","0.95","1.23","P00_99","0.34","0.47","0.94","1.25"
"09_2_27","0.564753227796678","0.729221843864296","0.862090818111944","a10_b99_nopneumo","0.06","0.6","0.73","0.87","P00_99","0.05","0.63","0.73","0.87","E40_46","0.04","0.62","0.73","0.86"
"09_2_28","0.457455227373815","0.637457044673539","0.910820612682315","cj20_J22","0.72","0.47","0.61","0.87","P00_99","0.64","0.48","0.6","0.77","K00_99","0.23","0.48","0.6","0.82"
"09_2_29","0.506009542138709","0.556441639302316","0.625773344204115","P00_99","1","0.57","0.66","0.76","a10_b99_nopneumo","0.28","0.61","0.7","0.77","E00_99","0.16","0.61","0.71","0.78"
"09_3_31","0.460941449344316","0.547409683229156","0.662042633266106","cj20_J22","1","0.5","0.59","0.72","E00_99","0.65","0.52","0.66","0.8","P00_99","0.63","0.52","0.6","0.77"
"09_3_32","0.386995515695067","0.460665912506686","0.534944986827832","cj20_J22","1","0.45","0.61","0.85","N00_99","0.22","0.45","0.61","0.84","P00_99","0.08","0.63","0.76","0.89"
"09_3_33","0.642298003013757","0.746293820126737","0.849682287529786","cj20_J22","1","0.57","0.68","0.81","E00_99","0.98","0.53","0.68","0.78","Z00_99","0.17","0.6","0.68","0.76"
"09_3_35","0.872661070649016","0.943934963671806","1.02368900902041","cj20_J22","1","0.85","1.03","1.16","D50_89","1","0.71","0.86","1.09","E00_99","0.97","0.84","0.99","1.16"
"09_4_41","0.643121598876038","0.815423955367002","1.02214799705071","cj20_J22","1","0.71","0.8","0.91","a10_b99_nopneumo","0.78","0.73","0.81","0.95","P00_99","0.65","0.72","0.8","0.94"
"09_4_42","0.591685794843499","0.675964845242644","0.833551754174527","cj20_J22","1","0.66","0.77","0.98","P00_99","0.22","0.66","0.76","0.9","P05_07","0.11","0.65","0.73","0.83"
"09_4_43","0.744506354473173","0.830736989172197","0.921292692252449","cj20_J22","1","0.77","0.89","1.01","E00_99","0.93","0.79","0.9","1.01","a10_b99_nopneumo","0.35","0.77","0.9","1.02"
"09_5_50","0.674594813135963","0.770247309797999","0.88889857599535","cj20_J22","1","0.66","0.78","0.91","P00_99","0.9","0.74","0.9","1.04","P05_07","0.19","0.75","0.89","1.04"
"09_5_51","0.617938216846137","0.719014084507042","0.809197589429085","cj20_J22","1","0.56","0.67","0.77","K00_99","0.66","0.56","0.65","0.79","a10_b99_nopneumo","0.33","0.55","0.65","0.77"
"09_5_52","0.496441545503477","0.579080214963572","0.677477477477477","cj20_J22","1","0.62","0.79","1.01","pandemic","0.12","0.59","0.78","0.95","S00_T99","0.08","0.61","0.79","0.96"
"09_5_53","0.364043824701195","0.441869836792263","0.562163547808254","cj20_J22","1","0.47","0.59","0.8","a10_b99_nopneumo","0.6","0.48","0.61","0.8","A41","0.21","0.49","0.61","0.8"
"09_1_AA","0.81830027987316","0.912101144909596","1.01210386490044","cj20_J22","1","0.78","0.85","0.94","P00_99","1","0.78","0.85","0.94","L00_99","0.27","0.78","0.85","0.93"
"09_2_AA","0.528877940691561","0.574143136210265","0.626293478059294","A41","1","0.57","0.66","0.73","cj20_J22","1","0.6","0.72","0.79","K00_99","0.17","0.61","0.7","0.78"
"09_3_AA","0.698921435804424","0.764228560863626","0.843973559967018","cj20_J22","1","0.65","0.92","1.07","E00_99","0.69","0.63","0.8","0.97","E40_46","0.67","0.73","0.85","1.06"
"09_4_AA","0.66144642696123","0.749840938011271","0.873407059197531","cj20_J22","0.86","0.73","0.81","0.89","E40_46","0.39","0.72","0.8","0.89","K00_99","0.25","0.75","0.82","0.93"
"09_5_AA","0.578644063852104","0.675622361620705","0.781716284135226","cj20_J22","1","0.54","0.73","0.89","K00_99","0.83","0.43","0.65","0.89","A41","0.32","0.47","0.71","0.92"
"09_A_AA","0.714308003868931","0.746901150042511","0.784707351143511","E40_46","1","0.79","0.86","0.93","cj20_J22","1","0.72","0.77","0.88","I00_99","0.12","0.67","0.79","0.88"
