"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","09_1_11",0.528,0,0.472,0
"2","09_1_12",0.107,0,0.761,0.132
"3","09_1_13",0,0.355,0.645,0
"4","09_1_14",0,0.975,0.025,0
"5","09_1_15",0.93,0.07,0,0
"6","09_1_16",0.045,0,0.164,0.791
"7","09_1_17",0,0.19,0,0.81
"8","09_2_21",0.473,0.527,0,0
"9","09_2_22",0.413,0.587,0,0
"10","09_2_23",0.112,0,0,0.888
"11","09_2_24",0,0,0.422,0.578
"12","09_2_25",0.42,0.159,0,0.421
"13","09_2_26",0.874,0.029,0.097,0
"14","09_2_27",0,0.74,0.26,0
"15","09_2_28",0,0.068,0.699,0.233
"16","09_2_29",0.83,0,0.17,0
"17","09_3_31",0.872,0.127,0,0
"18","09_3_32",0.968,0,0,0.032
"19","09_3_33",1,0,0,0
"20","09_3_35",0.899,0,0.1,0
"21","09_4_41",0.206,0.447,0.347,0
"22","09_4_42",0.575,0.398,0,0.026
"23","09_4_43",0.418,0,0.215,0.367
"24","09_5_50",0.852,0,0,0.148
"25","09_5_51",0.786,0,0,0.214
"26","09_5_52",0.989,0.011,0,0
"27","09_5_53",0.718,0.282,0,0
"28","09_1_AA",0.45,0.34,0.064,0.146
"29","09_2_AA",0.628,0,0.094,0.278
"30","09_3_AA",0.931,0.069,0,0
"31","09_4_AA",0.165,0,0.379,0.456
"32","09_5_AA",0.956,0.044,0,0
"33","09_A_AA",0.848,0.152,0,0
