"","STL+PCA Estimate (95% CI)"
"09_1_11","0.83 (0.54, 1.29)"
"09_1_12","0.56 (0.45, 0.69)"
"09_1_13","1.06 (0.81, 1.38)"
"09_1_14","1.5 (1.21, 1.85)"
"09_1_15","0.73 (0.62, 0.88)"
"09_1_16","1.09 (0.88, 1.34)"
"09_1_17","0.42 (0.29, 0.6)"
"09_2_21","0.75 (0.6, 0.92)"
"09_2_22","0.57 (0.39, 0.81)"
"09_2_23","0.56 (0.46, 0.68)"
"09_2_24","0.65 (0.56, 0.75)"
"09_2_25","0.63 (0.52, 0.76)"
"09_2_26","0.64 (0.48, 0.86)"
"09_2_27","0.67 (0.46, 0.96)"
"09_2_28","0.66 (0.36, 1.16)"
"09_2_29","0.79 (0.71, 0.87)"
"09_3_31","0.67 (0.6, 0.75)"
"09_3_32","0.43 (0.31, 0.6)"
"09_3_33","0.62 (0.52, 0.75)"
"09_3_35","0.99 (0.83, 1.16)"
"09_4_41","1.08 (0.92, 1.28)"
"09_4_42","0.63 (0.4, 0.99)"
"09_4_43","0.9 (0.81, 0.99)"
"09_5_50","0.48 (0.36, 0.65)"
"09_5_51","0.79 (0.68, 0.92)"
"09_5_52","0.86 (0.65, 1.14)"
"09_5_53","0.83 (0.59, 1.15)"
"09_1_AA","0.91 (0.79, 1.04)"
"09_2_AA","0.72 (0.65, 0.82)"
"09_3_AA","0.86 (0.72, 1.01)"
"09_4_AA","0.99 (0.9, 1.1)"
"09_5_AA","0.85 (0.71, 1.03)"
"09_A_AA","0.84 (0.76, 0.92)"
