"","Lower CI","Point Estimate","Upper CI"
"09_1_11",0.547799283241798,0.771857410881801,1.10296385443395
"09_1_12",0.435283576744803,0.56701030927835,0.754032258064516
"09_1_13",0.890940872569849,1.2081208687441,1.60170266837961
"09_1_14",0.857301499167129,1.20436817472699,1.68558951965065
"09_1_15",0.596281916932401,0.653609401231114,0.736769065791964
"09_1_16",0.968766001024066,1.23821989528796,1.50756972111554
"09_1_17",0.366903086463827,0.55255795363709,0.844539132488637
"09_2_21",0.655546342533653,0.797667167109366,1.24249524515743
"09_2_22",0.440947005455327,0.68005540166205,0.940658161802016
"09_2_23",0.55978853931133,0.652309404563161,0.748151481505636
"09_2_24",0.51031627644929,0.594958464623317,0.706462585034014
"09_2_25",0.53734599103909,0.760818818459328,0.898440403011548
"09_2_26",0.530865488603302,0.660739436619718,0.800558877588581
"09_2_27",0.564753227796678,0.729221843864296,0.862090818111944
"09_2_28",0.457455227373815,0.637457044673539,0.910820612682315
"09_2_29",0.506009542138709,0.556441639302316,0.625773344204115
"09_3_31",0.460941449344316,0.547409683229156,0.662042633266106
"09_3_32",0.386995515695067,0.460665912506686,0.534944986827832
"09_3_33",0.642298003013757,0.746293820126737,0.849682287529786
"09_3_35",0.872661070649016,0.943934963671806,1.02368900902041
"09_4_41",0.643121598876038,0.815423955367002,1.02214799705071
"09_4_42",0.591685794843499,0.675964845242644,0.833551754174527
"09_4_43",0.744506354473173,0.830736989172197,0.921292692252449
"09_5_50",0.674594813135963,0.770247309797999,0.88889857599535
"09_5_51",0.617938216846137,0.719014084507042,0.809197589429085
"09_5_52",0.496441545503477,0.579080214963572,0.677477477477477
"09_5_53",0.364043824701195,0.441869836792263,0.562163547808254
"09_1_AA",0.81830027987316,0.912101144909596,1.01210386490044
"09_2_AA",0.528877940691561,0.574143136210265,0.626293478059294
"09_3_AA",0.698921435804424,0.764228560863626,0.843973559967018
"09_4_AA",0.66144642696123,0.749840938011271,0.873407059197531
"09_5_AA",0.578644063852104,0.675622361620705,0.781716284135226
"09_A_AA",0.714308003868931,0.746901150042511,0.784707351143511
