"","STL+PCA Estimate (95% CI)"
"3","0.88 (0.78, 1)"
"4","0.76 (0.67, 0.86)"
"5","0.77 (0.68, 0.88)"
"6","0.88 (0.79, 0.99)"
"7","0.89 (0.8, 0.99)"
"8","0.97 (0.88, 1.08)"
"92","0.89 (0.75, 1.05)"
