"","SC Estimate (95% CI)"
"3","0.82 (0.75, 0.88)"
"4","0.7 (0.63, 0.77)"
"5","0.8 (0.71, 0.9)"
"6","0.88 (0.76, 1.01)"
"7","0.92 (0.82, 1.05)"
"8","1 (0.9, 1.11)"
"92","0.53 (0.46, 0.65)"
