"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","3",1,0,0,0
"2","4",0.798,0,0.202,0
"3","5",0.747,0,0.253,0
"4","6",0,0.526,0,0.474
"5","7",0.81,0.051,0,0.138
"6","8",0.234,0.559,0,0.207
"7","92",0.919,0,0,0.081
