"","Time trend Estimate (95% CI)"
"3","0.85 (0.74, 0.98)"
"4","0.76 (0.67, 0.87)"
"5","0.75 (0.65, 0.87)"
"6","0.86 (0.75, 0.98)"
"7","0.92 (0.81, 1.03)"
"8","0.97 (0.88, 1.08)"
"92","1.09 (0.9, 1.31)"
