"","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"3","0.753473312839027","0.815285038586009","0.879430719656284","cJ20_J22","1","0.72","0.86","0.96","G00_99_SY","0.95","0.65","0.85","0.95","pandemic","0.01","0.67","0.85","0.95"
"4","0.63363802559415","0.698860779358481","0.772281639928699","cJ20_J22","1","0.59","0.73","0.85","A10_B99_nopneumo","0.03","0.59","0.71","0.83","K35","0.02","0.57","0.68","0.79"
"5","0.705909483703134","0.802590993214065","0.901593901593902","B34","0.9","0.7","0.81","1.08","A10_B99_nopneumo","0.82","0.7","0.81","1.15","A41","0.11","0.7","0.81","1.13"
"6","0.75789122763028","0.882013816447636","1.00664495114007","E00_99","0.19","0.72","0.89","1.01","N39","0.18","0.71","0.88","1.01","A41","0.17","0.71","0.89","1.03"
"7","0.822568964969425","0.916511367871785","1.04567325599586","A41","0.52","0.85","0.95","1.14","L00_99","0.24","0.85","0.94","1.17","I00_99","0.18","0.85","0.95","1.1"
"8","0.901169875700707","0.998953092895744","1.10604454480481","C00_D48","0.92","0.89","0.99","1.12","I00_99","0.5","0.88","0.99","1.11","D50_89","0.19","0.88","0.99","1.12"
"92","0.457246136474858","0.52511085306184","0.649205361213322","cJ20_J22","1","0.68","0.8","1.21","P00_99","1","0.67","0.8","1.15","A10_B99_nopneumo","0.83","0.67","0.79","1"
