"","X2.5..3","X50..3","X97.5..3","X2.5..4","X50..4","X97.5..4","X2.5..5","X50..5","X97.5..5","X2.5..6","X50..6","X97.5..6","X2.5..7","X50..7","X97.5..7","X2.5..8","X50..8","X97.5..8","X2.5..92","X50..92","X97.5..92"
"1",0.96632113444725,1.04118800784533,1.12080471372651,0.900171792541425,0.989471659960729,1.08586541281485,0.934059356136821,1.05674211029646,1.19201725997843,0.93131644728734,1.05440112070978,1.18545740910881,0.92092344434125,1.02658532216522,1.1528942778839,0.967982967970494,1.06537746885968,1.16828918572183,0.93166147971587,1.03055891734756,1.13099064320424
"2",0.96779639007921,1.04121262922604,1.12092465441814,0.897965603950058,0.9856184084372,1.08233312276269,0.946153528272226,1.07081339712919,1.20843420498992,0.929277331686226,1.05307979468035,1.18745067087609,0.913790814972126,1.01985038145323,1.14257026753092,0.974008139323679,1.07295988934993,1.17761357794269,0.928009351256039,1.02605261808298,1.12474702046323
"3",0.977728292732886,1.05205633529808,1.132774339699,0.901728050270553,0.988802765301113,1.08620689655172,0.946357989836251,1.07677481529072,1.21625544267054,0.92632707051311,1.04839085820896,1.18148339623215,0.912466350404715,1.01622222222222,1.14069057725158,0.969675329679497,1.06917630933951,1.17399672384297,0.92470892679266,1.02065947486261,1.11744043889093
"4",0.979830421377184,1.05461836283186,1.13531235292181,0.90622291558329,0.994105343221145,1.09007506255213,0.943396226415094,1.07613234821715,1.21597096188748,0.920150844818625,1.04103696814694,1.17535109594435,0.912199323002722,1.0159645232816,1.13980099502488,0.973178391959799,1.0717719911823,1.17504963052053,0.918211211803816,1.01123426450675,1.10621605310803
"5",0.975459350616662,1.05076933987827,1.12873161497015,0.908726003490401,0.997127537342015,1.09529393941218,0.942458100558659,1.0748646065626,1.21323265012585,0.917739915877218,1.03884508348794,1.17495467247519,0.909825695039921,1.01384223681014,1.13891192569249,0.97568656605994,1.07360177420473,1.17775636327012,0.905002885426377,0.995118855859814,1.08777513583767
"6",0.977922848664688,1.0521006257183,1.13328748280605,0.899091999314717,0.987208427389014,1.08161582852432,0.938230362341257,1.07702223654528,1.21661100330335,0.911752703529892,1.03539361987937,1.17145488138883,0.905401815827615,1.00927152317881,1.13675495419312,0.967811023622047,1.06620402498265,1.16934985316747,0.878164564946791,0.96378154226222,1.05807370337849
"7",0.957545435848287,1.03388808490111,1.11584743024022,0.897219882055602,0.982109922537809,1.07575757575758,0.930899972137086,1.07152020525978,1.209641655221,0.907444612021909,1.03069466882068,1.16758169934641,0.91913202709126,1.02695726068043,1.15331731963886,0.977049953367136,1.07902114974726,1.18839811773114,0.797611124429319,0.889337306227134,0.987521438208515
"8",0.916198607054594,0.988486244091625,1.06698063840921,0.877171699177503,0.962541314726405,1.05557792992348,0.898215472120862,1.02657911194497,1.15274888644364,0.906986287704502,1.03252595155709,1.16775371771458,0.919767000348499,1.02842016389613,1.1565416221291,0.975143642268299,1.07290593004879,1.18055568698534,0.726229061611191,0.810831995819492,0.902687745526046
"9",0.894544206794007,0.965078973346496,1.0390628377755,0.856099306085902,0.940487260554212,1.03036384763944,0.883369923161361,1.00972396486826,1.13385993527185,0.887601825503217,1.00955890821145,1.14393840532429,0.900296032664461,1.00431463794064,1.13023142912289,0.962810738821806,1.06311350753491,1.17210171230622,0.692106295868724,0.774731823599523,0.865404851184625
"10",0.877712656644348,0.946297904005953,1.01978080727078,0.834038950042337,0.916620137725665,1.00612870275792,0.854994064148847,0.981818181818182,1.10561338003519,0.830519681254458,0.944986792236132,1.07373091478533,0.817959663383259,0.915974417407925,1.0324847376702,0.89572023734377,0.989194841408156,1.0914566024507,0.665616312862213,0.745132983639737,0.836764016531991
