"","STL+PCA Estimate (95% CI)"
"92_1","0.97 (0.82, 1.15)"
"92_2","1.02 (0.79, 1.31)"
"92_3","0.71 (0.58, 0.86)"
"92_4","0.84 (0.72, 0.96)"
"92_5","0.81 (0.68, 0.95)"
"92_6","0.75 (0.64, 0.88)"
"92_7","0.66 (0.55, 0.79)"
"92_8","0.72 (0.61, 0.86)"
"92_9","0.83 (0.61, 1.15)"
"92_10","0.55 (0.5, 0.62)"
"92_11","0.52 (0.42, 0.63)"
"92_12","0.32 (0.26, 0.4)"
"92_13","0.96 (0.81, 1.13)"
"92_14","1.02 (0.87, 1.2)"
"92_15","0.72 (0.58, 0.9)"
