"","SC Estimate (95% CI)"
"92_1","0.84 (0.69, 1.01)"
"92_2","0.41 (0.3, 0.57)"
"92_3","0.81 (0.63, 1.04)"
"92_4","0.83 (0.71, 0.96)"
"92_5","0.63 (0.53, 0.73)"
"92_6","0.71 (0.58, 0.86)"
"92_7","0.6 (0.48, 0.71)"
"92_8","0.64 (0.58, 0.71)"
"92_9","0.54 (0.41, 0.72)"
"92_10","0.54 (0.48, 0.61)"
"92_11","0.52 (0.43, 0.63)"
"92_12","0.36 (0.27, 0.47)"
"92_13","0.54 (0.47, 0.63)"
"92_14","0.76 (0.62, 0.91)"
"92_15","0.7 (0.55, 0.89)"
