"","Lower CI","Point Estimate","Upper CI"
"92_1",0.816753926701571,0.966942148760331,1.14987714987715
"92_2",0.786330935251799,1.01863932898416,1.31059089103267
"92_3",0.577226606538895,0.710124826629681,0.864864864864865
"92_4",0.724149545301448,0.836575875486381,0.958548361181561
"92_5",0.676445178319222,0.806003473083602,0.951112412177986
"92_6",0.639664804469274,0.752229000469263,0.878368203256429
"92_7",0.554256594724221,0.664868752247393,0.794593843219952
"92_8",0.60802549950551,0.722672064777328,0.857289879931389
"92_9",0.613584040437157,0.833754056978002,1.14853452558371
"92_10",0.495668188028298,0.554979720594863,0.620876109331638
"92_11",0.424861301729649,0.520359743615558,0.634838709677419
"92_12",0.26171875,0.324455205811138,0.404864506088071
"92_13",0.808117029736858,0.961682487154925,1.1332604725091
"92_14",0.866591757085852,1.01759364358683,1.19692923898531
"92_15",0.578740157480315,0.717073170731707,0.896478939099205
