"","Time trend Estimate (95% CI)"
"92_1","1.56 (1.18, 2.07)"
"92_2","1.27 (0.99, 1.62)"
"92_3","1.37 (1, 1.9)"
"92_4","0.95 (0.77, 1.15)"
"92_5","0.84 (0.66, 1.05)"
"92_6","0.88 (0.71, 1.07)"
"92_7","0.79 (0.63, 0.99)"
"92_8","0.81 (0.66, 0.99)"
"92_9","0.82 (0.65, 1.02)"
"92_10","0.82 (0.69, 0.98)"
"92_11","0.59 (0.42, 0.83)"
"92_12","1.52 (1.05, 2.27)"
"92_13","1.23 (1.01, 1.49)"
"92_14","0.82 (0.65, 1.03)"
"92_15","1.04 (0.72, 1.56)"
